id,old_id,created_at
6656,NULL,23-12-2021 14:00
6657,NULL,23-12-2021 14:53
6658,NULL,23-12-2021 16:13
6659,NULL,23-12-2021 16:49
6660,NULL,23-12-2021 17:18
6661,NULL,24-12-2021 15:03
6662,NULL,24-12-2021 18:55
6663,NULL,27-12-2021 10:27
6664,NULL,27-12-2021 11:35
6665,NULL,27-12-2021 12:25
6666,NULL,27-12-2021 13:40
6667,NULL,27-12-2021 15:02
6668,NULL,27-12-2021 16:35
6669,NULL,27-12-2021 18:23
6670,NULL,28-12-2021 10:47
6671,NULL,28-12-2021 12:47
6672,NULL,28-12-2021 13:10
6673,NULL,28-12-2021 14:03
6674,NULL,28-12-2021 16:11
6675,NULL,28-12-2021 17:06
6676,NULL,28-12-2021 19:03
6677,NULL,29-12-2021 10:43
6678,NULL,29-12-2021 11:20
6679,NULL,29-12-2021 12:08
6680,NULL,29-12-2021 15:29
6681,NULL,29-12-2021 16:09
6682,NULL,29-12-2021 16:53
6683,NULL,29-12-2021 18:48
6684,NULL,20-12-2021 11:55
6685,NULL,11-12-2021 11:57
6686,NULL,30-12-2021 11:45
6687,NULL,30-12-2021 10:32
6688,NULL,08-12-2021 13:31
6689,NULL,30-12-2021 12:18
6690,NULL,01-12-2021 16:04
6691,NULL,03-12-2021 16:10
6692,NULL,30-12-2021 13:49
6693,NULL,30-12-2021 16:15
6694,NULL,30-12-2021 16:54
6695,NULL,30-12-2021 18:41
6696,NULL,31-12-2021 10:32
6697,NULL,31-12-2021 10:55
6698,NULL,14-12-2021 13:47
6699,NULL,31-12-2021 11:50
6700,NULL,23-12-2021 14:58
6701,NULL,14-12-2021 15:14
6702,NULL,03-12-2021 15:20
6703,NULL,15-12-2021 15:24
6704,NULL,31-12-2021 15:09
6705,NULL,31-12-2021 15:32
6706,NULL,20-12-2021 17:35
6707,NULL,31-12-2021 15:46
6708,NULL,31-12-2021 19:01
6709,NULL,13-12-2021 19:10
6710,NULL,03-01-2022 10:13
6711,NULL,03-01-2022 12:18
6712,NULL,03-01-2022 13:45
6713,NULL,03-01-2022 15:24
6714,NULL,03-01-2022 17:42
6715,NULL,03-01-2022 17:01
6716,NULL,04-01-2022 11:20
6717,NULL,04-01-2022 11:43
6718,NULL,04-01-2022 12:50
6719,NULL,04-01-2022 14:23
6720,NULL,04-01-2022 16:17
6721,NULL,04-01-2022 17:04
6722,NULL,04-01-2022 18:59
6723,NULL,05-01-2022 10:34
6724,NULL,05-01-2022 11:56
6725,NULL,05-01-2022 13:06
6726,NULL,05-01-2022 14:02
6727,NULL,05-01-2022 15:32
6728,NULL,05-01-2022 16:21
6729,NULL,05-01-2022 18:18
6730,NULL,06-01-2022 10:45
6731,NULL,06-01-2022 11:07
6732,NULL,06-01-2022 12:26
6733,NULL,06-01-2022 13:27
6734,NULL,06-01-2022 15:12
6735,NULL,06-01-2022 16:37
6736,NULL,08-12-2021 18:01
6737,NULL,20-12-2021 18:32
6738,NULL,09-12-2021 18:37
6739,NULL,06-01-2022 19:03
6740,NULL,07-01-2022 10:33
6741,NULL,07-01-2022 11:32
6742,NULL,07-01-2022 12:33
6743,NULL,07-01-2022 13:58
6744,NULL,07-01-2022 16:11
6745,NULL,07-01-2022 16:53
6746,NULL,07-01-2022 18:25
6747,NULL,07-01-2022 18:40
6748,NULL,10-01-2022 10:37
6749,NULL,10-01-2022 11:51
6750,NULL,10-01-2022 12:01
6751,NULL,10-01-2022 13:22
6752,NULL,10-01-2022 15:27
6753,NULL,10-01-2022 15:57
6754,NULL,10-01-2022 10:00
6755,NULL,11-01-2022 10:09
6756,NULL,11-01-2022 13:34
6757,NULL,11-01-2022 13:52
6758,NULL,11-01-2022 14:05
6759,NULL,11-01-2022 15:50
6760,NULL,11-01-2022 16:34
6761,NULL,11-01-2022 19:06
6762,NULL,12-01-2022 10:33
6763,NULL,12-01-2022 12:20
6764,NULL,12-01-2022 12:42
6765,NULL,12-01-2022 14:00
6766,NULL,12-01-2022 15:54
6767,NULL,12-01-2022 16:45
6768,NULL,12-01-2022 18:32
6769,NULL,13-01-2022 11:48
6770,NULL,13-01-2022 11:56
6771,NULL,13-01-2022 12:34
6772,NULL,13-01-2022 13:54
6773,NULL,13-01-2022 16:00
6774,NULL,13-01-2022 16:20
6775,NULL,13-01-2022 18:58
6776,NULL,14-01-2022 10:38
6777,NULL,14-01-2022 12:53
6779,NULL,14-01-2022 15:43
6780,NULL,14-01-2022 15:37
6781,NULL,14-01-2022 16:55
6782,NULL,14-01-2022 17:20
6783,NULL,14-01-2022 18:48
6784,NULL,17-01-2022 11:10
6785,NULL,17-01-2022 11:39
6786,NULL,17-01-2022 12:20
6787,NULL,17-01-2022 14:02
6788,NULL,17-01-2022 15:39
6789,NULL,17-01-2022 17:39
6790,NULL,17-01-2022 18:42
6791,NULL,18-01-2022 10:26
6792,NULL,18-01-2022 11:20
6793,NULL,18-01-2022 12:32
6794,NULL,18-01-2022 13:10
6795,NULL,18-01-2022 15:19
6796,NULL,18-01-2022 16:36
6797,NULL,18-01-2022 18:45
6798,NULL,19-01-2022 10:34
6799,NULL,19-01-2022 11:10
6800,NULL,19-01-2022 11:45
6801,NULL,19-01-2022 16:20
6802,NULL,19-01-2022 16:26
6803,NULL,19-01-2022 16:31
6804,NULL,19-01-2022 19:30
6805,NULL,20-01-2022 10:59
6806,NULL,20-01-2022 11:25
6807,NULL,20-01-2022 11:43
6808,NULL,20-01-2022 14:08
6809,NULL,20-01-2022 15:33
6810,NULL,20-01-2022 17:16
6811,NULL,20-01-2022 18:56
6812,NULL,21-01-2022 10:57
6813,NULL,21-01-2022 11:52
6814,NULL,21-01-2022 12:24
6815,NULL,21-01-2022 13:53
6816,NULL,21-01-2022 16:11
6817,NULL,21-01-2022 16:57
